index,Hip,ra_hours,dec_degrees,flamsteed,bayer,const,name,magnitude,epoch_year
0,88,0.01794397,-48.80985919,,τ,Phe,,5.71,2000.25
1,122,0.02662528,-77.06529438,,θ,Oct,,4.78,2000.25
2,145,0.03039927,-3.02747891,29,,Psc,,5.13,2000.25
3,154,0.03266433,-6.01397169,30,,Psc,,4.37,2000.25
4,171,0.03601251,27.08448905,85,,Peg,,5.8,2000.25
5,183,0.03886504,-29.72044805,,ζ,Scl,,5.04,2000.25
6,186,0.04004652,8.9568336,31,,Psc,,6.33,2000.25
7,194,0.04159929,8.48557854,32,,Psc,,5.7,2000.25
8,301,0.06232565,-17.33597002,2,,Cet,,4.55,2000.25
9,330,0.07046214,62.2876646,9,,Cas,,5.9,2000.25
10,355,0.07503398,-10.50949443,3,,Cet,,4.99,2000.25
11,443,0.08892938,-5.70783255,33,,Psc,,4.61,2000.25
12,476,0.09498215,13.39628227,86,,Peg,,5.55,2000.25
13,531,0.10736857,64.19616859,10,,Cas,,5.57,2000.25
14,677,0.13976888,29.09082805,21,α,And,Alpheratz,2.07,2000.25
15,729,0.15064948,18.21202529,87,,Peg,,5.57,2000.25
16,746,0.15280269,59.15021814,11,β,Cas,Caph,2.28,2000.25
17,761,0.15583908,-27.9879039,,κ¹,Scl,,5.42,2000.25
18,765,0.15681663,-45.74698836,,ε,Phe,,3.88,2000.25
19,813,0.1672735,11.14580908,34,,Psc,,5.54,2000.25
20,814,0.16729695,-82.22399743,,γ³,Oct,,5.29,2000.25
21,841,0.17201167,46.07227117,22,,And,,5.01,2000.25
22,910,0.18775227,-15.46732287,6,,Cet,,4.89,2000.25
23,930,0.19289362,-27.7997782,,κ²,Scl,,5.41,2000.25
24,950,0.19552446,-35.13339606,,θ,Scl,,5.24,2000.25
25,1067,0.22059721,15.18361593,88,γ,Peg,Algenib,2.83,2000.25
26,1086,0.2252598,41.03572671,23,,And,,5.71,2000.25
27,1168,0.24336336,20.2066972,89,χ,Peg,,4.79,2000.25
28,1170,0.24400908,-18.93268628,7,,Cet,,4.44,2000.25
29,1196,0.24966158,8.8210228,35,,Psc,,6.02,2000.25
30,1319,0.27612701,8.24018997,36,,Psc,,6.12,2000.25
31,1366,0.28487101,38.68167915,24,θ,And,,4.61,2000.25
32,1473,0.3054737,36.7853273,25,σ,And,,4.51,2000.25
33,1501,0.31170834,43.79114781,26,,And,,6.1,2000.25
34,1562,0.32380084,-8.82382948,8,ι,Cet,,3.56,2000.25
35,1599,0.33386505,-64.8776232,,ζ,Tuc,,4.23,2000.25
36,1645,0.34329562,8.19024803,41,,Psc,,5.38,2000.25
37,1647,0.34417857,-69.62491154,,π,Tuc,,5.5,2000.25
38,1686,0.35200719,37.96869954,27,ρ,And,,5.16,2000.25
39,1708,0.35866009,-28.98129509,,ι,Scl,,5.18,2000.25
40,1772,0.3737348,13.48243411,42,,Psc,,6.25,2000.25
41,1803,0.38098693,-12.20958506,9,,Cet,,6.39,2000.25
